"","can_off","can_off_sta","can_par_aff","can_inc_cha_ope_sea","ind_ite_con","ind_uni_con","ind_con","par_com_con","oth_com_con","can_con","tot_con","tra_fro_oth_aut_com","can_loa","oth_loa","tot_loa","oth_rec","ope_exp","tra_to_oth_aut_com","net_con","net_ope_exp","winner"
"335","H","NY","REP","INCUMBENT",958198.12,93623.18,1051821.3,5000,755183.19,0,1812004.49,75494.5,0,0,0,13218.68,1464090.13,0,1789879.49,1460930.13,"Y"
"336","H","NE","REP","CHALLENGER",759127.55,135677.54,894805.09,10000,347000,12335.85,1264140.94,0,0,0,0,0,1032298.34,0,1261815.94,1032298.34,"Y"
"337","H","CA","DEM","INCUMBENT",654677.81,57674.02,712351.83,0,368160,0,1080511.83,0,0,0,0,4529.56,385739.73,0,1067211.83,384739.73,"Y"
"338","H","AZ","DEM","INCUMBENT",1822603.25,265264.41,2087867.66,5014.93,1762634.06,0,3855516.65,101537.77,0,0,0,9297.25,2298279.95,0,3817156.62,2129141.03,"Y"
"339","H","CA","DEM","INCUMBENT",1544343.16,425417.61,1969760.77,4994.75,1037550.58,0,3012306.1,359.14,0,0,0,0,2100527.66,0,2957075.24,2099993.32,"Y"
"340","H","RI","DEM","INCUMBENT",567610.11,39897.55,607507.66,0,486710,0,1094217.66,0,0,0,0,7858.57,674427.99,0,1087117.66,670999.82,"Y"
"341","H","CA","DEM","INCUMBENT",248291.83,53791.19,302083.02,263.88,1116826.24,300,1419473.14,0,0,0,0,732,910413.8,0,1413539.75,907594.24,"Y"
"342","H","CA","REP","INCUMBENT",313464.75,14792.25,328257,0,586841.19,0,915098.19,0,0,0,0,420.7,824442.61,0,908448.19,822521.51,"Y"
"343","H","RI","DEM","INCUMBENT",929851,60933.46,990784.46,0,395695,0,1386479.46,0,0,0,0,141.19,592755.98,95000,1377568.46,586521.89,"Y"
"344","H","CA","DEM","INCUMBENT",2045832,346174.45,2392006.45,5437.16,1259003.62,4591.42,3661038.65,2039.21,0,0,0,1352.49,3062067.04,0,3611611.26,3060584.69,"Y"
"345","H","NV","DEM","CHALLENGER",1208985.93,180020.16,1389006.09,6064.14,470766.24,515.23,1866351.7,10854.3,0,0,0,400,1820844.75,0,1841699.38,1807548.55,"Y"
"346","H","CA","DEM","INCUMBENT",121855,8192.3,130047.3,0,489500,0,619547.3,0,0,0,0,200070,561642.17,0,618422.3,561642.17,"Y"
"347","H","CA","DEM","INCUMBENT",240721.15,31244.4,271965.55,0,410873.56,0,682839.11,0,0,0,0,0,245984.28,0,682839.11,238884.28,"Y"
"348","H","CA","DEM","INCUMBENT",351776.04,50238.43,402014.47,329.99,577557.37,0,979901.83,0,0,0,0,11.78,677912.43,0,976226.83,675341.34,"Y"
"349","H","NY","DEM","INCUMBENT",767892.85,39609.58,807502.43,22.22,249250,0,1056774.65,0,0,0,0,1627.4,481109.09,0,1054274.65,480782.02,"Y"
"350","H","AK","REP","INCUMBENT",587331.16,42336.88,629668.04,0,423703.99,0,1053372.03,0,0,0,0,422.89,1148414.04,0,1051122.03,1145563.6,"Y"
"351","H","NJ","DEM","INCUMBENT",175012.2,1200.57,176212.77,0,318897.29,0,495110.06,0,0,0,0,574.28,342832.39,0,493110.06,342832.39,"Y"
"352","H","TX","DEM","INCUMBENT",527437.39,49649.42,577086.81,0,274400.42,0,851487.23,0,0,0,0,33887.23,156355.79,0,851487.23,156149.19,"Y"
"353","H","UT","REP","INCUMBENT",1771569.02,1998629.11,3770198.13,0,939296.59,0,4709494.72,94818.76,0,0,0,125008.19,4481507,400,4679901.41,4479680.34,"Y"
"354","H","TX","DEM","INCUMBENT",638659.14,6491.5,645150.64,0,890040.51,15750,1550941.15,0,0,0,0,6010.51,646556.91,0,1547766.15,642665.82,"Y"
"355","H","WA","REP","INCUMBENT",417849.23,68670.27,486519.5,0,699687.98,0,1186207.48,19178.65,0,0,0,0,878362.23,0,1181007.48,876254.55,"Y"
"356","H","NY","REP","OPEN",420587.91,54654.87,475242.78,250,189185,0,664677.78,457.95,60000,0,60000,0,604453.09,0,663477.78,604453.09,"Y"
"357","H","AZ","DEM","OPEN",789144.16,157708.78,946852.94,5000,388950,8758.14,1349561.08,0,0,0,0,0,1172123.37,6875,1346755.75,1171700.46,"Y"
"358","H","NV","DEM","INCUMBENT",394435.2,22105.71,416540.91,0,463324.42,0,879865.33,0,0,0,0,0,491657.23,25000,876315.33,491031.21,"Y"
"359","H","CA","DEM","INCUMBENT",613695.92,86584.82,700280.74,32.14,296500,0,996812.88,7789.87,0,0,0,0,596311.08,3465,988996.47,593180.82,"Y"
"360","H","CA","REP","INCUMBENT",492154.01,50653.01,542807.02,0,895043.66,0,1437850.68,17624.82,0,0,0,373.23,1297349.27,30,1434575.68,1296637.69,"Y"
"361","H","CA","DEM","INCUMBENT",1249574.23,461671.96,1711246.19,6165.12,1102564.02,0,2819975.33,0,0,0,0,1100,1570297.13,25000,2784410.1,1553474.21,"Y"
"362","H","CA","REP","INCUMBENT",881790.83,36661.92,918452.75,0,1694496.36,0,2612949.11,133966.1,0,0,0,3953.63,2684478.77,0,2607349.11,2682815.61,"Y"
"363","H","TX","REP","INCUMBENT",1799190.04,179737.41,1978927.45,0,1533805.17,0,3512732.62,231999.4,0,0,0,7877.75,3190903.16,0,3482524.49,3182163.05,"Y"
"364","H","CA","DEM","INCUMBENT",146131.92,3847.52,149979.44,30.88,413717.84,0,563728.16,0,0,0,0,2006.89,293312.95,0,563728.16,292943.07,"Y"
"365","H","CA","DEM","INCUMBENT",195516,2736.32,198252.32,76.27,736250,0,934578.59,24038.84,0,0,0,105117.82,445315.17,34038.84,933578.59,443689.05,"Y"
"366","H","CA","DEM","INCUMBENT",601106,89202.2,690308.2,132.12,453674.56,0,1144114.88,0,0,0,0,125.34,974570.98,0,1143014.88,972594.74,"Y"
"367","H","TX","DEM","INCUMBENT",645841.17,5445.81,651286.98,0,540310.44,0,1191597.42,0,0,0,0,0,396130.87,0,1178147.42,387404.13,"Y"
"368","H","CA","DEM","OPEN",435187,15421.14,450608.14,0,391222.78,0,841830.92,0,0,0,0,0,671578.5,0,816005.92,668008.45,"Y"
"369","H","TX","DEM","OPEN",264791,3732,268523,0,223650,0,492173,0,1850000,0,1850000,0,2228578.65,0,491173,2228578.65,"Y"
"370","H","CA","DEM","INCUMBENT",642399.27,2600.08,644999.35,0,927139.8,0,1572139.15,0,0,0,0,15677.42,1479654.03,0,1565630.33,1479654.03,"Y"
"371","H","CA","DEM","INCUMBENT",565544.87,26101.62,591646.49,0,1076550,0,1668196.49,72511.38,0,0,0,32916.36,899972.05,0,1661402.41,893434.06,"Y"
"372","H","TX","DEM","INCUMBENT",477381.19,23725.05,501106.24,0,1233583.44,0,1734689.68,0,0,0,0,628.29,1456185.64,0,1732189.68,1455824.78,"Y"
"373","H","CA","DEM","INCUMBENT",168431,9245.7,177676.7,0,538678.3,0,716355,0,0,0,0,9456.69,773282.22,0,704730,773282.22,"Y"
"374","H","TX","DEM","INCUMBENT",630877.9,26305,657182.9,0,621482.45,0,1278665.35,0,0,0,0,0,1102132.5,0,1278365.35,1097277.09,"Y"
"375","H","LA","REP","CHALLENGER",944165.91,14216,958381.91,0,142100,0,1100481.91,0,250000,0,250000,0,1001519.43,0,1092066.91,1001153.67,"Y"
"376","H","AZ","DEM","INCUMBENT",420737.76,124099.24,544837,22.94,480365.2,0,1025225.14,0,0,0,0,0,483939.12,0,1020199.67,483939.12,"Y"
"377","H","LA","REP","OPEN",486059,41707.7,527766.7,0,27200,1063.28,556029.98,0,50000,0,50000,0,443730.06,0,553329.98,443730.06,"Y"
"378","H","CA","DEM","OPEN",941707.7,334845,1276552.7,0,165725.66,25167.92,1467446.28,0,0,0,0,300.01,1213945.71,0,1456066.55,1213945.71,"Y"
"379","H","CA","REP","INCUMBENT",1042133.3,67506.02,1109639.32,2000,1360628.71,0,2472268.03,0,0,0,0,9894.67,1757531.19,0,2458483.03,1757531.19,"Y"
"380","S","IL","DEM","CHALLENGER",7220766,4707798,11928570,59300,1176808,0,13164681,2334804,0,0,0,5073,12419238,26723,13059804,12412571,"Y"
"381","S","NH","DEM","CHALLENGER",9049406,4117882,13167293,46800,873499,0,14087592,1425077,0,0,0,911,13635740,0,14006424,13622825,"Y"
"382","H","IL","DEM","CHALLENGER",2664425.79,976263.46,3640689.25,5000,626152.43,5400,4277241.68,0,130000,0,130000,429.69,4193582.26,0,4201335.76,4185389.16,"Y"
"383","H","CA","REP","CHALLENGER",62200,1865,64065,0,2000,1000,67065,0,0,0,0,0,67065,0,67065,67065,"N"
"384","S","CO","REP","CHALLENGER",451760,10520,462280,0,0,21567,483847,0,1875000,0,1875000,92.33,2365130,0,483847,2358939,"N"
"385","H","CA","REP","CHALLENGER",2700,350,3050,0,0,1471,4521,0,0,0,0,0,3735.81,0,4521,3735.81,"N"
"386","H","CA","REP","CHALLENGER",2800,5,2805,0,0,0,2805,0,100,0,100,0,2805,0,2805,2805,"N"
"387","H","CA","REP","CHALLENGER",2250,490.29,2740.29,0,0,762.36,3502.65,0,245,0,245,0,3747.65,0,3502.65,3747.65,"N"
"388","H","CA","REP","CHALLENGER",51856.05,12150.96,64007.01,0,4599,0,68606.01,0,100,0,100,0,68355.12,0,68606.01,68351.76,"N"
"389","H","CA","REP","CHALLENGER",6400,1389.5,7789.5,0,0,0,7789.5,0,1000,0,1000,0,7046.88,0,7789.5,7046.88,"N"
"390","H","CA","REP","CHALLENGER",2700,0,2700,0,0,0,2700,0,0,0,0,0,2700,0,2700,2700,"N"
"391","H","FL","NPA","CHALLENGER",7400,0,7400,0,0,13100,20500,0,0,0,0,0,13970,0,20500,13970,"N"
"392","H","NJ","NPA","CHALLENGER",0,0,0,0,0,202.48,202.48,0,300,0,300,0,202.48,0,202.48,202.48,"N"
"393","H","CA","REP","CHALLENGER",3450,655.06,4105.06,0,0,0,4105.06,0,35,0,35,0,4029.13,75.93,4105.06,4029.13,"N"
"394","H","ND","LIB","CHALLENGER",1800,730,2530,0,0,0,2530,0,0,0,0,0,2546.2,0,2530,2546.2,"N"
"395","H","CA","REP","CHALLENGER",250,282.75,532.75,0,0,0,532.75,0,100,0,100,0,632.75,0,532.75,632.75,"N"
"396","H","CA","REP","CHALLENGER",0,100,100,5000,0,0,5100,0,400,0,400,0,5500,0,5100,5500,"N"
"397","H","FL","NPA","CHALLENGER",0,0,0,0,0,0,0,0,25000,0,25000,0,8459.36,0,0,8459.36,"N"
"398","H","OH","DEM","CHALLENGER",1700,1552,0,50,1050,4081,0,0,0,0,0,0,0,0,0,0,"N"
"399","H","WV","REP","CHALLENGER",19457.74,7419,26876.74,0,500,11729.76,39106.5,0,0,0,0,0,39106.46,0,39106.5,39106.46,"N"
"400","S","KS","DEM","CHALLENGER",5241,894,6135,0,0,8890,15026,0,20000,0,20000,0,29603,0,15026,29603,"N"
"401","H","FL","NPA","CHALLENGER",0,0,0,1,0,10400,0,0,0,0,0,0,9093,0,0,0,"N"
"402","H","NJ","IND","CHALLENGER",0,0,0,0,0,0,0,0,7285,0,7285,0,301442,0,0,0,"N"
"403","S","OR","DEM","CHALLENGER",4910,824,5735,0,0,0,5735,0,3000,0,3000,0,6436,0,5735,6436,"N"
"404","H","WI","DEM","CHALLENGER",6886,14380.31,21266.31,0,0,10025,31291.31,0,0,0,0,0,31376.31,0,31291.31,31376.31,"N"
"405","S","HI","REP","CHALLENGER",19550,1992,5700,0,0,10401,31943,0,22002,0,22002,0,40579,0,31943,40579,"N"
"406","H","WA","IND","CHALLENGER",1500,1554,3054,0,0,0,3054,0,6000,0,6000,0,8171,0,7054,8171,"N"
"407","S","MO","IND","CHALLENGER",388,223,611,0,0,5000,5611,0,0,0,0,0,5361,0,5611,5361,"N"
"408","S","AK","UNK","CHALLENGER",269,0,269,0,0,5202,5471,0,11500,0,11500,0,21371,0,5471,21371,"N"
"409","H","MI","REP","CHALLENGER",10880,5835,16715,900,760,0,18375,0,20000,0,20000,0,8701,0,18375,8701,"N"
"410","H","CA","DEM","CHALLENGER",51090,5991.05,57081.05,0,10000,2753.28,69834.33,0,1000,0,1000,0,69538.7,0,69834.33,69538.7,"N"
"411","H","UT","DEM","CHALLENGER",68828,3395,72223,0,0,490000,562223,0,0,0,0,1470.69,548462.32,6868.02,562153,548462.32,"N"
"412","H","OH","DEM","CHALLENGER",5210.36,12932.34,18142.7,45,1678.7,7177.55,27043.95,0,0,1000,1000,0,18413.17,0,27043.95,18413.17,"N"
"413","H","MA","REP","CHALLENGER",126336.55,67107.91,193444.46,2522.34,5750,17004,218720.8,0,42000,0,42000,0,205584.17,0,218695.8,205584.17,"N"
"414","H","CA","REP","CHALLENGER",30575,9595,40170,0,99,8193.25,48462.25,0,0,0,0,0,30903.58,0,48462.25,30903.58,"N"
"415","H","CA","DEM","CHALLENGER",609209.37,529401.69,1138611.06,0,122350,0,1260961.06,0,5,0,5,1025.11,959079.59,0,1260961.06,959079.59,"N"
"416","H","GA","REP","CHALLENGER",700,0,0,0,0,6220,6920,0,0,0,0,0,5448,0,6920,5448,"N"
"417","H","MD","REP","CHALLENGER",3406,6195,9601,0,512,12206.79,22319.79,0,19400,7500,26900,0,41632.3,0,21819.79,41632.3,"N"
"418","H","NY","REP","CHALLENGER",182225.42,27183.99,209409.41,0,0,0,209409.41,0,0,0,0,0,193415.43,0,209409.41,193415.43,"N"
"419","H","CO","REP","CHALLENGER",28810,17171,45981,3200,1175,0,50356,0,0,0,0,0,44259.51,0,49356,44259.51,"N"
"420","H","PA","DEM","CHALLENGER",99633.79,42498.06,142131.85,0,37200,2878.07,182209.92,0,0,0,0,0,128619.36,0,182209.92,128619.36,"N"
"421","H","IL","DEM","CHALLENGER",697238.31,83422.58,780660.89,5000,160290,5010,950960.89,0,0,0,0,0,837588.33,0,943095.89,837588.33,"N"
"422","S","GA","DEM","CHALLENGER",236097,266000,502097,0,8300,1400,511797,0,2e+06,2400000,4400000,0,4771207,0,510547,4770944,"N"
"423","H","TX","DEM","CHALLENGER",12703,2498,15201,750,1100,2360.53,19411.53,0,3010.22,137.24,3147.46,0,18498.17,0,18022.06,18498.17,"N"
"424","S","UT","UN","CHALLENGER",9800,2956,11306,0,0,0,12756,0,0,0,0,4.89,13139,0,12756,12870,"N"
"425","H","TX","REP","CHALLENGER",16424,8169.87,24593.87,5000,0,0,29593.87,0,3620,559,4179,0,34241.17,0,29593.87,34241.17,"N"
"426","H","WA","REP","CHALLENGER",21976.55,7192,29168.55,532,0,251,29951.55,0,0,0,0,25,27362.72,0,29951.55,27362.72,"N"
"427","H","VA","DEM","CHALLENGER",85964.4,67137.77,153102.17,0,11734,9307.05,174143.22,0,8883.88,0,8883.88,0,176091.64,0,174143.22,176091.64,"N"
"428","H","GA","REP","CHALLENGER",3930,2078,6008,0,0,3905.57,9913.57,0,0,0,0,0,4424.91,0,9913.57,4424.91,"N"
"429","H","VA","DEM","CHALLENGER",1503463.85,260605.81,1764069.66,14996.7,315807.37,26660.73,2121534.46,0,90000,0,90000,0,1976059.94,0,2110187.99,1976059.94,"N"
"430","H","MI","REP","CHALLENGER",23500,65,23565,0,3600,0,27165,0,1500,0,1500,0,1018.83,0,27165,4618.83,"N"
"431","H","SC","DEM","CHALLENGER",18934.75,25400.74,44335.49,11500,0,6402.15,62237.64,0,0,0,0,100,53329.21,0,62197.64,53329.21,"N"
"432","H","WA","REP","CHALLENGER",4734,1529,5914,275,0,1897,8435,0,2621,0,2621,0,7929,0,8435,10852,"N"
"433","H","MN","DFL","CHALLENGER",1162295.15,221066.31,1383361.46,4997.61,266376.49,5302.66,1660038.22,0,0,0,0,0,1442567.64,0,1656703.22,1441701.63,"N"
"434","H","MS","REP","CHALLENGER",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"435","H","AL","DEM","CHALLENGER",19153,11488.75,30641.75,500,19000,2841.98,52983.73,0,0,2893.2,2893.2,30,54923.85,0,52983.73,54923.85,"N"
"436","S","OK","IND","CHALLENGER",6629,5629,12259,0,0,0,12259,0,0,0,0,0,12705,0,12259,12705,"N"
"437","H","IL","GRE","CHALLENGER",808.53,450,1258.53,1200,50,0,2508.53,0,0,0,0,57,1875.53,0,2508.53,1875.53,"N"
"438","H","TX","DEM","CHALLENGER",20,100,120,0,0,0,120,0,14061.94,0,14061.94,0,7349.78,479.34,120,7349.78,"N"
"439","H","NC","DEM","CHALLENGER",14050,13745,27795,1785,0,0,29580,0,11550,0,11550,0,30178.11,0,29580,28218.11,"N"
"440","H","MA","REP","CHALLENGER",500,450,950,0,0,44500,45450,0,0,0,0,0,41401.27,0,45450,41401.27,"N"
"441","H","CA","DEM","CHALLENGER",780858.79,175813.88,956672.67,4998.26,355425,1974.17,1319070.1,15190.49,0,0,0,0,1264452.37,0,1312243.14,1245092.13,"N"
"442","H","ME","DEM","CHALLENGER",1972364.9,479234.81,2451599.71,6546.71,648724.06,0,3106870.48,0,0,0,0,0,2996632.21,0,3103895.48,2973739.2,"N"
"443","H","NY","OTH","CHALLENGER",1252210.14,70397.66,1322607.8,0,87400,15199.28,1425207.08,0,250000,0,250000,24300,1457732.95,14,1399490.63,1456658.02,"N"
"444","H","GU","REP","CHALLENGER",60634,16719,77353,0,200,0,77553,0,0,0,0,0,74664.3,0,77553,74664.3,"N"
"445","H","NC","DEM","CHALLENGER",10282.35,2309.83,12592.18,546.05,0,6408.04,19546.27,0,24479.72,0,24479.72,0,44240.58,0,19546.27,42127.26,"N"
"446","H","TX","DEM","CHALLENGER",14320.16,7889.4,22209.56,0,0,14025,36234.56,0,0,0,0,0,34603.56,0,36234.56,34603.56,"N"
"447","H","CO","DEM","CHALLENGER",1598418.15,553767.18,2152185.33,6496.7,443787.53,0,2602469.56,0,0,0,0,0,2326606.64,0,2583786.13,2326606.64,"N"
"448","S","CT","REP","CHALLENGER",220820,102215,316085,7000,12500,2098,344634,0,20000,0,20000,0,314794,0,341934,314794,"N"
"449","H","NC","DEM","CHALLENGER",12315,2150,13365,100,0,0,13465,0,0,0,0,0,12526.74,0,13465,12526.74,"N"
"450","H","NJ","REP","CHALLENGER",14250.18,0,14250.18,0,0,37250,51500.18,0,0,0,0,0,50125.99,0,51500.18,50125.99,"N"
"451","H","MA","NPA","CHALLENGER",3064.35,2016.76,5081.11,0,0,2657.2,7738.31,0,0,0,0,0,5692.16,0,7638.31,5590.66,"N"
"452","H","CA","REP","CHALLENGER",433264,82037.74,515301.74,0,70023.78,25,585350.52,0,52500,0,52500,0,520707.14,0,585350.52,516707.14,"N"
"453","H","SC","DEM","CHALLENGER",7162.42,19138.22,26300.64,0,0,0,26300.64,0,0,0,0,0,14107.19,0,26300.64,14107.19,"N"
"454","H","MO","DEM","CHALLENGER",128389.16,39169.37,167558.53,0,1250,0,168808.53,0,0,33500,33500,0,192132.22,0,168808.53,192132.22,"N"
"455","H","TX","DEM","CHALLENGER",3727.2,9247.21,12974.41,0,5000,348,18322.41,0,3100,0,3100,0,20501.9,0,18322.41,20501.9,"N"
"456","H","CA","REP","CHALLENGER",139069.24,19278.61,158347.85,5000,0,911.16,164259.01,2500,210000,0,210000,50,320107.22,0,164259.01,320107.22,"N"
"457","H","UT","DEM","CHALLENGER",87823.55,18987.8,106811.35,100,0,0,106911.35,0,0,0,0,0,76273.22,0,106911.35,76273.22,"N"
"458","H","MI","DEM","CHALLENGER",556772.29,440617.51,997389.8,0,29548.32,7825,1034763.12,0,0,0,0,0,837308.81,0,1030216.49,836408.39,"N"
"459","H","SC","DEM","CHALLENGER",2744,0,904,2000,0,5164,9045,0,0,0,0,0,3012,0,9045,6517,"N"
"460","H","NJ","DEM","CHALLENGER",47828.03,28510.1,76338.13,0,500,2691.13,79529.26,0,31843.6,0,31843.6,0,100411.84,0,79323.26,100411.84,"N"
"461","H","IN","DEM","CHALLENGER",281815.9,93485.21,375301.11,10000,142481.63,1683.53,529466.27,0,0,0,0,0,447558.27,0,524193.27,445335.77,"N"
"462","H","PA","REP","CHALLENGER",17663,1835,19498,0,3000,3700,26198,0,0,0,0,0,18629.21,0,26198,18629.21,"N"
"463","H","CT","REP","CHALLENGER",79080,18171,97251,3265.51,2631.06,0,103147.57,0,0,0,0,0,73450.72,0,96997.57,73450.72,"N"
"464","H","CT","REP","CHALLENGER",8462.11,3885,12347.11,0,515.51,777.69,13640.31,0,0,0,0,0,7450.83,0,13640.31,7450.83,"N"
"465","H","MN","DEM","CHALLENGER",1556679.17,482386.16,2039065.33,4996.85,668475.87,7600,2720138.05,2700,975000,0,975000,3.1,3345582.4,0,2716572.86,3345423.53,"N"
"466","S","AL","DEM","CHALLENGER",15289,16501,31790,950,0,0,32740,0,1700,0,1700,0,27854,0,32755,28856,"N"
"467","H","AR","DEM","CHALLENGER",12035,10073.88,21608.88,750,0,10000,32858.88,0,0,0,0,1411.53,21518.29,0,22358.88,20957.87,"N"
"468","H","NV","NON","CHALLENGER",9835,8812.03,18647.03,0,0,5043,23690.03,0,0,0,0,0,22038.17,0,23690.03,22038.17,"N"
"469","H","CA","REP","CHALLENGER",128198,20003,148201,0,3500,0,151701,0,1e+05,160000,260000,1029.97,155466.91,0,151701,155466.91,"N"
"470","H","WI","IND","CHALLENGER",0,25,14170,0,0,21000,35170,0,0,0,0,0,36788,0,35170,36788,"N"
"471","S","FL","REP","CHALLENGER",4500,720,200,0,0,0,5220,0,2200,0,0,0,7318,0,5220,10,"N"
"472","H","PA","DEM","CHALLENGER",7950,4233.72,12183.72,0,8250,218.39,20652.11,0,0,0,0,0,18071.13,0,20652.11,18071.13,"N"
"473","H","NC","DEM","CHALLENGER",43743,12138,55881,0,2750,0,58631,0,0,20600,20600,0,43585.3,0,58631,43585.3,"N"
"474","H","NY","DEM","CHALLENGER",735596.43,272707.24,1008303.67,6783.36,295548.24,0,1310635.27,7984.61,0,0,0,4800,1286649.92,0,1307289.91,1286649.92,"N"
"475","H","VA","DEM","CHALLENGER",81812.57,52148.28,133960.85,2500,5939,0,142399.85,0,0,0,0,0,117073.56,0,142399.85,117073.56,"N"
"476","S","OH","GRE","CHALLENGER",1831,4165,5996,1000,0,2098,9094,1446,0,0,0,0,10051,0,9033,10051,"N"
"477","H","IN","DEM","CHALLENGER",65049.8,39480.04,104529.84,6916.1,32400,1563.78,145409.72,0,0,0,0,33.67,74423.91,0,145409.72,74098.11,"N"
"478","H","CA","DEM","CHALLENGER",26922,44305.78,71227.78,2100,18350.16,1000,92677.94,0,0,0,0,800,68725.76,0,92427.94,68725.76,"N"
"479","H","NY","DEM","CHALLENGER",879947.63,126814.49,1006762.12,6992.76,150470.38,0,1164225.26,0,0,0,0,0,1100902.01,0,1161425.26,1099844.18,"N"
"480","H","NC","REP","CHALLENGER",2820,2875,5695,903,50,4000,10648,0,10000,0,10000,0,19656.14,0,10648,19656.14,"N"
"481","H","WA","REP","CHALLENGER",53176,8770.99,61946.99,0,0,0,61946.99,0,330,0,330,0,45212.77,0,61946.99,45207.27,"N"
"482","S","SC","DEM","CHALLENGER",24121,8726,19680,250,3450,0,36547,0,0,0,0,50.77,32828,0,23380,18788,"N"
"483","H","CA","DEM","CHALLENGER",4201.08,1160,5361.08,280,0,0,5641.08,0,30102.04,0,30102.04,0,31479.31,0,5641.08,31479.31,"N"
"484","H","IN","DEM","CHALLENGER",1050,700,950,500,500,0,2750,0,5000,0,5000,0,9261,0,2750,9261,"N"
"485","H","MI","DEM","CHALLENGER",1340571.59,343358.37,1683929.96,500,462320.88,0,2146750.84,0,0,60000,60000,949,1839833.42,0,2136975.34,1839833.42,"N"
"486","H","GA","REP","CHALLENGER",22855,6340,29195,500,0,0,29695,0,0,0,0,9265,34813.29,0,29695,34813.29,"N"
"487","H","CA","DEM","CHALLENGER",0,20,20,0,0,0,20,0,0,0,0,0,1.8,0,20,1.8,"N"
"488","H","CA","DEM","CHALLENGER",816931.23,149519.42,966450.65,5000,301224.56,0,1272675.21,6250,0,0,0,0,1106002.44,0,1268701.54,1090126.52,"N"
"489","S","AR","DEM","CHALLENGER",1307713,179942,1487657,0,138950,16600,1643207,0,220000,0,220000,0,1804590,0,1633927,1803247,"N"
"490","H","NV","DEM","CHALLENGER",81134.68,50870.06,132004.74,0,50250,0,182254.74,0,0,3497.77,3497.77,0,159914.37,0,181729.74,159914.37,"N"
"491","H","SC","DEM","CHALLENGER",56473.7,29269.42,85743.12,0,2940,3108,91791.12,0,0,0,0,0,88271.59,0,91281.12,88271.59,"N"
"492","S","WI","DEM","CHALLENGER",11881336,8352767,20234108,46800,969185,0,21250095,422123,0,0,0,2352,18587564,0,21052929,18584847,"N"
"493","H","FL","DEM","CHALLENGER",78804.12,36008.79,114812.91,0,2500,6347,123659.91,0,0,0,0,0,103987.22,0,123659.91,103987.22,"N"
"494","H","FL","DEM","CHALLENGER",82590,7488,90078,0,0,44718.39,134796.39,0,650000,0,650000,0,760371.83,0,134796.39,759467.5,"N"
"495","H","NY","GRE","CHALLENGER",13399.38,0,13399.38,500,0,0,13899.38,0,0,0,0,0,6385.92,0,13899.38,6385.92,"N"
"496","H","TX","DEM","CHALLENGER",1218309.84,179923.14,1398232.98,4990,514448.28,0,1917671.26,14051.11,0,0,0,0,1762629.27,14051.11,1896716.87,1740780.81,"N"
"497","H","FL","DEM","CHALLENGER",859429.82,31219,890648.82,5000,240108.34,0,1135757.16,0,0,0,0,3373.39,946657.64,0,1133757.16,945657.64,"N"
"498","H","OH","DEM","CHALLENGER",32249.97,34035,66284.97,2500,5793.48,2245.42,76823.87,0,0,0,0,0,52724.36,500,76823.87,52661.31,"N"
"499","H","AZ","REP","CHALLENGER",13441.21,0,13441.21,0,0,0,13441.21,0,241027.42,0,241027.42,0,170978.52,100,13441.21,170978.52,"N"
"500","H","KS","DEM","CHALLENGER",182000,37913,219913,0,25350,2500,247763,0,2500,0,2500,0,227227.68,23100,246963,226872.68,"N"
"501","H","CA","REP","CHALLENGER",881973.68,137994.51,1019968.19,5000,171407.95,5400,1201776.14,0,110000,0,110000,496.39,1148876.32,0,1201356.36,1148876.32,"N"
"502","H","MS","DEM","CHALLENGER",21861,8510,30371,2500,19100,421,52392,0,0,0,0,0.02,49270.27,0,52392,49270.27,"N"
"503","S","ND","DEM","CHALLENGER",9630,6014,15644,0,5000,0,20644,0,0,0,0,0,21140,0,20644,21140,"N"
"504","S","CO","REP","CHALLENGER",1928426,1473650,3402077,24394,127912,0,3554383,30000,16478,0,16478,0,2530308,0,3553878,2503222,"N"
"505","H","NC","DEM","CHALLENGER",68970,15772.54,84742.54,0,3800,75,88617.54,0,0,0,0,0,82513.74,0,88617.54,80773.74,"N"
"506","H","OH","REP","CHALLENGER",15243.99,2005,17248.99,0,0,0,17248.99,0,0,0,0,0,15791.23,0,17248.99,15791.23,"N"
"507","H","NC","REP","CHALLENGER",85388,18841.32,104229.32,0,0,0,104229.32,0,11740,0,11740,0,78678.44,0,104229.32,78678.44,"N"
"508","S","KY","DEM","CHALLENGER",2568293,716541,3284835,0,122500,73,3407408,0,2e+06,0,2e+06,10801,4541315,75000,3376518,4539473,"N"
"509","H","NY","DEM","CHALLENGER",192996.78,85723.55,278720.33,97.22,74825,0,353642.55,0,0,0,0,0,322597.28,0,353349.21,322168.33,"N"
"510","H","OK","DEM","CHALLENGER",9484,20220.08,29704.08,77,25,15,29821.08,0,46900,0,46900,0,76456.69,0,29821.08,76456.69,"N"
"511","H","MN","REP","CHALLENGER",237110.43,46908.67,284019.1,8650,10500,11372.91,314542.01,0,8583.52,0,8583.52,0,273436.87,0,314542.01,273077.67,"N"
"512","H","PA","REP","CHALLENGER",73864,14352,88216,0,0,815.14,89031.14,0,2e+05,0,2e+05,0,224986.58,0,89031.14,224986.58,"N"
